player,pos,season,Players,2024/2025
De'Andre Hunter,SF,2024,De'Andre Hunter,"$21,696,429 "
De'Anthony Melton,SG,2024,De'Anthony Melton,"$12,822,000 "
DeAndre Jordan,C,2024,DeAndre Jordan,"$3,303,771 "
DeMar DeRozan,SF,2024,DeMar DeRozan,"$23,400,000 "
Dean Wade,PF,2024,Dean Wade,"$6,166,667 "
Deandre Ayton,C,2024,Deandre Ayton,"$34,005,126 "
Dejounte Murray,SG,2024,Dejounte Murray,"$29,517,134 "
Delon Wright,PG,2024,Delon Wright,"$3,003,427 "
Deni Avdija,SF,2024,Deni Avdija,"$15,625,000 "
Derrick White,SG,2024,Derrick White,"$20,071,429 "
Desmond Bane,SG,2024,Desmond Bane,"$34,005,250 "
Devin Booker,PG,2024,Devin Booker,"$49,205,800 "
Devin Vassell,SG,2024,Devin Vassell,"$29,347,826 "
Dillon Brooks,SF,2024,Dillon Brooks,"$22,255,493 "
Domantas Sabonis,C,2024,Domantas Sabonis,"$40,500,000 "
Dominick Barlow,PF,2024,Dominick Barlow,"$578,577 "
Donovan Mitchell,SG,2024,Donovan Mitchell,"$35,410,310 "
Donte DiVincenzo,SG,2024,Donte DiVincenzo,"$11,445,000 "
Dorian Finney-Smith,PF,2024,Dorian Finney-Smith,"$14,924,167 "
Doug McDermott,SF,2024,Doug McDermott,"$3,303,771 "
Draymond Green,PF,2024,Draymond Green,"$24,107,143 "
Drew Eubanks,C,2024,Drew Eubanks,"$5,000,000 "
Drew Peterson,PF,2024,Drew Peterson,"$578,577 "
Dru Smith,SG,2024,Dru Smith,"$578,577 "
Duncan Robinson,SF,2024,Duncan Robinson,"$19,406,000 "
Duop Reath,C,2024,Duop Reath,"$2,048,780 "
Dwight Powell,C,2024,Dwight Powell,"$4,000,000 "
Dyson Daniels,PG,2024,Dyson Daniels,"$6,059,520 "
Emoni Bates,SF,2024,Emoni Bates,"$578,577 "
Eric Gordon,SG,2024,Eric Gordon,"$3,303,771 "
Evan Mobley,PF,2024,Evan Mobley,"$11,227,657 "
Franz Wagner,SF,2024,Franz Wagner,"$7,007,092 "
Fred VanVleet,PG,2024,Fred VanVleet,"$42,846,615 "
Gabe Vincent,PG,2024,Gabe Vincent,"$11,000,000 "
Garrett Temple,SG,2024,Garrett Temple,"$3,303,771 "
Garrison Mathews,SG,2024,Garrison Mathews,"$2,230,253 "
Gary Harris,SG,2024,Gary Harris,"$7,500,000 "
Gary Payton II,SG,2024,Gary Payton II,"$9,130,000 "
Georges Niang,PF,2024,Georges Niang,"$8,500,000 "
Giannis Antetokounmpo,PF,2024,Giannis Antetokounmpo,"$48,787,676 "
Goga Bitadze,C,2024,Goga Bitadze,"$9,057,971 "
Gradey Dick,SG,2024,Gradey Dick,"$4,763,543 "
Grant Williams,PF,2024,Grant Williams,"$13,025,250 "
Grayson Allen,SG,2024,Grayson Allen,"$15,625,000 "
Gui Santos,PF,2024,Gui Santos,"$1,891,857 "
Harrison Barnes,PF,2024,Harrison Barnes,"$18,000,000 "
Haywood Highsmith,PF,2024,Haywood Highsmith,"$5,200,000 "
Hunter Tyson,PF,2024,Hunter Tyson,"$1,891,857 "
Immanuel Quickley,PG-SG,2024,Immanuel Quickley,"$32,500,000 "
Immanuel Quickley,SG,2024,Immanuel Quickley,"$32,500,000 "
Immanuel Quickley,PG,2024,Immanuel Quickley,"$32,500,000 "
Isaac Okoro,SF,2024,Isaac Okoro,"$10,185,186 "
Isaiah Hartenstein,C,2024,Isaiah Hartenstein,"$30,000,000 "
Isaiah Jackson,C,2024,Isaiah Jackson,"$4,435,380 "
Isaiah Joe,SG,2024,Isaiah Joe,"$12,991,650 "
Isaiah Stewart,PF,2024,Isaiah Stewart,"$15,000,000 "
Isaiah Wong,SG,2024,Isaiah Wong,"$427,879 "
Ivica Zubac,C,2024,Ivica Zubac,"$11,743,210 "
Izaiah Brockington,PG,2024,Izaiah Brockington,"$1,862,265 "
JD Davison,SG,2024,JD Davison,"$578,577 "
JT Thor,PF,2024,JT Thor,"$578,577 "
Ja Morant,PG,2024,Ja Morant,"$36,725,670 "
JaVale McGee,C,2024,JaVale McGee,"$2,208,856 "
Jabari Walker,SF,2024,Jabari Walker,"$2,019,699 "
Jacob Toppin,SF,2024,Jacob Toppin,"$578,577 "
Jaden Hardy,SG,2024,Jaden Hardy,"$2,019,699 "
Jaden Ivey,SG,2024,Jaden Ivey,"$7,977,240 "
Jaden McDaniels,SF,2024,Jaden McDaniels,"$23,017,242 "
Jaden Springer,SG-PG,2024,Jaden Springer,"$4,018,363 "
Jaden Springer,SG,2024,Jaden Springer,"$4,018,363 "
Jaden Springer,PG,2024,Jaden Springer,"$4,018,363 "
Jae Crowder,PF,2024,Jae Crowder,"$2,620,232 "
Jae'Sean Tate,SF,2024,Jae'Sean Tate,"$7,565,217 "
Jake LaRavia,PF,2024,Jake LaRavia,"$3,352,680 "
Jakob Poeltl,C,2024,Jakob Poeltl,"$19,500,000 "
Jalen Brunson,PG,2024,Jalen Brunson,"$24,960,001 "
Jalen Duren,C,2024,Jalen Duren,"$4,536,840 "
Jalen Green,SG,2024,Jalen Green,"$12,483,048 "
Jalen Hood-Schifino,SG,2024,Jalen Hood-Schifino,"$3,879,830 "
Jalen Johnson,SF,2024,Jalen Johnson,"$4,510,905 "
Jalen McDaniels,SF,2024,Jalen McDaniels,"$4,741,800 "
Jalen Pickett,SG,2024,Jalen Pickett,"$1,891,857 "
Jalen Smith,C,2024,Jalen Smith,"$8,571,429 "
Jalen Suggs,SG,2024,Jalen Suggs,"$9,188,385 "
Jalen Williams,PF,2024,Jalen Williams,"$4,775,760 "
Jalen Wilson,PF,2024,Jalen Wilson,"$1,891,857 "
Jamal Cain,PF,2024,Jamal Cain,"$578,577 "
